BOOK_ID	FILENAME	LIBRARIES	TITLE	AUTH_LAST	AUTH_FIRST	AUTH_ID	WRITTEN_AS	PUBL_CITY	PUBLISHER	PUBL_DATE	SOURCE	NATIONALITY	GENRE	CLEAN?	GENRE_2	BESTSELLER?	paperId	year
11148	00011148.txt	28.0	The viaduct murder	Knox	Ronald Arbuthnott	A_01943		London	Methuen & Co.	1925	k	British		c			11148	1925
10390	00010390.txt	110.0	Topper takes a trip	Smith	Thorne	A_03186		Garden City/N.Y.	. : Sun Dial Press	1932	k	American					10390	1932
nc01.ark+=13960=t1bk1d85c	nc01.ark+=13960=t1bk1d85c.txt		Jack O'Doon;	Beale	['Maria']					1894	hathi_fulltext						nc01.ark+=13960=t1bk1d85c	1894
22307	00022307.txt	234.0	Fierce Eden	Blake	Jennifer	A_00301		New York	Ballantine Books	1985	k	American		c			22307	1985
24702	00024702.txt	1945.0	The jewels of Tessa Kent	Krantz	Judith	A_01958		New York	Crown Publishers	1998	k	American		c			24702	1998
11699	00011699.txt	14.0	The sword of fate	Wheatley	Dennis	A_03585		London	Melbourne : Hutchinson	1941	k	British					11699	1941
11675	00011675.txt	142.0	N or M?	Christie	Agatha	A_00647		New York	"""Dodd, Mead"""	1941	k	British	DET	c			11675	1941
4833	00004833.txt	288.0	The weavers	Parker	Gilbert	A_02651		New York/London	Harper & Bros.	1907	k	Canadian				YES	4833	1907
10315	00010315.txt	341.0	Falcons of France	Nordhoff	Charles	A_02564		Boston	"""Little, Brown, & Co."""	1929	k	American					10315	1929
njp.32101063606436	njp.32101063606436.txt		The Princess Ahmedée ; a romance of Heidelberg	Corning	['J', 'Leonard', 'James', 'Leonard']					1900	hathi_fulltext						njp.32101063606436	1900
23794	00023794.txt	599.0	Jumper	Gould	Steven	A_03956		New York	TOR	1992	k	American		c			23794	1992
nyp.33433076043508	nyp.33433076043508.txt		The company doctor; an American story	Rood	['Henry', 'Edward']					1895	hathi_fulltext						nyp.33433076043508	1895
10969	00010969.txt	12.0	Raptured	Angley	Ernest	A_00076			"""Old Tappan, N.J. : F.H. Revell Co."""	1950	k	American		c			10969	1950
24764	00024764.txt	2801.0	The pilot's wife	Shreve	Anita	A_04233		Boston	"""Little, Brown"""	1998	k	American		c			24764	1998
loc.ark+=13960=t3mw30s70	loc.ark+=13960=t3mw30s70.txt		Fellow captains	Cleghorn	['Sarah', 'Norcliffe']					1916	hathi_fulltext						loc.ark+=13960=t3mw30s70	1916
22905	00022905.txt	202.0	Waiting to vanish	Hood	Ann	A_01685		New York/Toronto	Bantam Booksantam Books	1988	k	American		c			22905	1988
11272	00011272.txt	101.0	The treasure house of Martin Hews	Oppenheim	E. Phillips	A_02612		Boston	"""Little, Brown, & Co."""	1929	k	British					11272	1929
mdp.39015020642446	mdp.39015020642446.txt		Northern lights	OBrien	['Tim']					1975	extracted_features						mdp.39015020642446	1975
nnc1.1002220970	nnc1.1002220970.txt		The three prisoners, a true story of adventure	Shelton	['W', 'H', 'William', 'Henry']					1904	hathi_fulltext						nnc1.1002220970	1904
25930	00025930.txt	1587.0	Freedomland	Price	Richard	A_02809		New York	Broadway Books	1998	k	American		c			25930	1998
10245	00010245.txt	226.0	The red lamp	Rinehart	Mary Roberts	A_02912		New York	George H. Doran Co.	1925	k	American					10245	1925
mdp.39015066054647	mdp.39015066054647.txt		The red miriok	Barnes	['Annie', 'Maria']					1903	hathi_fulltext						mdp.39015066054647	1903
nyp.33433082524228	nyp.33433082524228.txt		Izilda; a story of Brazil	Barnes	['Annie', 'Maria']					1896	hathi_fulltext						nyp.33433082524228	1896
mdp.39015016423579	mdp.39015016423579.txt		Collected stories	Davies	['Rhys']					1955	extracted_features						mdp.39015016423579	1955
22150	00022150.txt	1669.0	Seeds of yesterday	Andrews	V. C.	A_00075		New York	Pocket Books	1984	k	American		c			22150	1984
23346	00023346.txt	319.0	Live free or die	Hebert	Ernest	A_01607		New York/N.Y.	"""., U.S.A. : Viking"""	1990	k	American		c			23346	1990
