BOOK_ID	TITLE	AUTH_LAST	AUTH_FIRST	PUBL_DATE	LIBRARIES	REFS
4079	The three black Pennys	Hergesheimer	Joseph	1917	324.0	1
11917	The third man	Greene	Graham	1950	320.0	8
20745	The fixer	Malamud	Bernard	1967	319.0	3
4842	The new Machiavelli	Wells	H. G.	1910	318.0	8
21085	The gaudy place	Chappell	Fred	1973	317.0	1
20116	The scarlet letters	Queen	Ellery	1953	315.0	1
10241	The great Gatsby	Fitzgerald	F. Scott	1925	313.0	168
11029	The cross	Undset	Sigrid	1927	312.0	3
10609	For whom the bell tolls	Hemingway	Ernest	1940	309.0	2
20422	The soldier	Powell	Richard	1960	308.0	10
10518	None shall look back	Gordon	Caroline	1937	308.0	1
10783	The folded leaf	Maxwell	William	1945	307.0	2
20947	Americana	DeLillo	Don	1971	306.0	24
21441	The vision	Koontz	Dean R.	1977	304.0	1
21287	Country music	Smith	C. W.	1975	303.0	9
10402	God's little acre	Caldwell	Erskine	1933	302.0	4
21451	The serial	McFadden	Cyra	1977	300.0	1
21305	The institute	Cain	James M.	1976	298.0	10
3255	The finer grain	James	Henry	1910	296.0	4
20939	The wild boys	Burroughs	William S.	1971	295.0	3
20897	The painted bird	Kosinski	Jerzy	1970	293.0	7
4851	The passionate friends	Wells	H. G.	1913	293.0	1
11241	Orlando	Woolf	Virginia	1928	291.0	376
20820	The pretenders	Davis	Gwen	1969	289.0	1
21456	Disappearances	Mosher	Howard Frank	1977	288.0	1
20728	Trout fishing in America	Brautigan	Richard	1967	287.0	1
11026	The plumed serpent	Lawrence	D. H.	1926	287.0	117
10326	The 42nd parallel	Dos Passos	John	1930	283.0	6
10616	Citizens	Levin	Meyer	1940	282.0	39
3217	Once upon a time	Davis	Richard Harding	1910	281.0	1
11574	In hazard	Hughes	Richard Arthur Warren	1938	277.0	1
3713	The Titan	Dreiser	Theodore	1914	268.0	12
4870	Hunger	Hamsun	Knut	1920	267.0	26
20489	Necromancer	Dickson	Gordon R	1962	266.0	1
20754	Numbers	Rechy	John	1967	263.0	4
11888	Arabella	Heyer	Georgette	1949	259.0	11
10236	The professor's house	Cather	Willa	1925	259.0	25
21122	Final solution	Peck	Richard E	1973	256.0	1
20551	Leaving Cheyenne	McMurtry	Larry	1963	255.0	1
10515	Serenade	Cain	James M.	1937	254.0	6
20313	Playback	Chandler	Raymond	1958	253.0	2
10887	The moth	Cain	James M.	1948	248.0	3
4023	The mysterious stranger	Twain	Mark	1916	246.0	51
4665	The enormous room	Cummings	E. E.	1922	243.0	9
4138	King Coal	Sinclair	Upton	1917	242.0	3
10907	Time will darken it	Maxwell	William	1948	241.0	1
20151	Lord Grizzly	Manfred	Frederick Feikema	1954	240.0	4
11854	Concluding	Yorke	Henry Vincent	1948	237.0	2
10819	Horizon	MacInnes	Helen	1946	237.0	6
21148	Forgetting Elena	White	Edmund	1973	236.0	1
21616	The establishment	Fast	Howard	1979	236.0	1
4566	Erik Dorn	Hecht	Ben	1921	229.0	1
10763	The brothers	Wilson	Dorothy Clarke	1944	228.0	64
21369	Small ceremonies	Shields	Carol	1976	228.0	1
21404	Cirque	Carr	Terry	1977	227.0	6
20678	Hard rain falling	Carpenter	Don	1966	224.0	1
4118	Susan Lenox	Phillips	David Graham	1917	222.0	1
10330	The Maltese falcon	Hammett	Dashiell	1930	221.0	9
4629	Andivius Hedulio	White	Edward Lucas	1921	221.0	1
11645	And then there were none	Christie	Agatha	1940	218.0	1
3352	Jennie Gerhardt	Dreiser	Theodore	1911	218.0	18
11710	Columbus	Sabatini	Rafael	1942	218.0	37
4840	Clayhanger	Bennett	Arnold	1910	214.0	13
4475	Kathleen	Morley	Christopher	1920	213.0	201
20581	Boswell	Elkin	Stanley	1964	212.0	66
4183	Cheerful	Ferber	Edna	1918	209.0	1
11514	Summer will show	Warner	Sylvia Townsend	1936	209.0	6
10230	Old New York	Wharton	Edith	1924	207.0	7
20383	Conquering Horse	Manfred	Frederick Feikema	1959	205.0	1
11023	The painted veil	Maugham	W. Somerset	1925	205.0	1
11610	After many a summer	Huxley	Aldous	1939	204.0	1
20461	The Wycherly woman	Millar	Kenneth	1961	203.0	1
20168	Sweet Thursday	Steinbeck	John	1954	202.0	4
20724	About us	Aaron	Chester	1967	201.0	1
21367	The demon	Selby	Hubert	1976	199.0	1
20169	Messiah	Vidal	Gore	1954	197.0	59
11085	The hollow	Christie	Agatha	1946	195.0	1
11111	Hieroglyphics	Machen	Arthur	1923	195.0	10
10254	My Antonia	Cather	Willa	1926	193.0	47
11007	Foxfire	Seton	Anya	1950	189.0	23
20972	Ancient history	McElroy	Joseph	1971	189.0	15
10328	As I lay dying	Faulkner	William	1930	186.0	107
10911	Ten days' wonder	Queen	Ellery	1948	185.0	2
11043	Brave new world	Huxley	Aldous	1932	185.0	74
10863	Bend sinister	Nabokov	Vladimir Vladimirovich	1947	184.0	22
11412	Vanessa	Walpole	Hugh	1933	182.0	42
20571	Little big man	Berger	Thomas	1964	177.0	10
11778	That hideous strength	Lewis	C. S.	1945	177.0	12
20994	The rose rabbi	Stern	Daniel	1971	176.0	1
20721	Fertig	Yurick	Sol	1966	172.0	1
20632	Totempole	Friedman	Sanford	1965	171.0	1
20803	Loveland	Swarthout	Glendon Fred	1968	168.0	1
10276	Circus parade	Tully	Jim	1927	161.0	2
4372	Jimmie Higgins	Sinclair	Upton	1919	158.0	1
20647	The source	Michener	James A.	1965	156.0	2
21200	Paradise road	Milton	David Scott	1974	152.0	1
10418	The album	Rinehart	Mary Roberts	1933	152.0	1
10443	Jonah's gourd vine	Hurston	Zora Neale	1934	151.0	2
11056	Jamaica Inn	Du Maurier	Daphne	1936	149.0	1
20800	The suicide academy	Stern	Daniel	1968	148.0	1
11157	Ducdame	Powys	John Cowper	1925	147.0	1
10465	Journeyman	Caldwell	Erskine	1935	145.0	1
20436	Butcher's Crossing	Williams	John	1960	144.0	1
20500	The thin red line	Jones	James	1962	144.0	7
4599	Autumn	Nathan	Robert	1921	144.0	138
10591	Johnny got his gun	Trumbo	Dalton	1939	143.0	2
21199	Centennial	Michener	James A.	1974	139.0	40
21041	Shockproof Sydney Skate	Meaker	Marijane	1972	139.0	1
20364	La belle	Coker	Elizabeth Boatwright	1959	139.0	40
3867	The scarlet plague	London	Jack	1915	138.0	1
20447	A lost king	DeCapite	Raymond	1961	137.0	1
10691	The moon is down	Steinbeck	John	1942	137.0	2
20378	Maggie Cassidy	Kerouac	Jack	1959	134.0	1
20530	Penelope	Anderson	William C.	1963	131.0	179
10724	The fountainhead	Rand	Ayn	1943	129.0	1
10522	The old bunch	Levin	Meyer	1937	128.0	2
11677	Frenchman's creek	Du Maurier	Daphne	1941	127.0	1
20088	Fahrenheit 451	Bradbury	Ray	1953	127.0	8
10425	Miss Lonelyhearts	West	Nathanael	1933	126.0	16
3975	Cappy Ricks	Kyne	Peter B.	1916	125.0	3
4541	The golden snare	Curwood	James Oliver	1921	125.0	1
20603	Collages	Nin	Anais	1964	124.0	1
11446	Burmese days	Orwell	George	1934	120.0	12
10521	Their eyes were watching God	Hurston	Zora Neale	1937	119.0	66
11221	Kai Lung unrolls his mat	Bramah	Ernest	1928	119.0	1
4881	Ulysses	Joyce	James	1922	118.0	1166
20241	The barbarous coast	Millar	Kenneth	1956	117.0	1
10291	Diversey	Kantor	MacKinlay	1928	116.0	2
20839	Darkest hour	Nielsen	Helen	1969	115.0	1
10561	The single hound	Sarton	May	1938	113.0	2
11724	Caught	Yorke	Henry Vincent	1943	113.0	5
11369	Cold Comfort farm	Gibbons	Stella	1932	112.0	3
11788	All hallows' eve	Williams	Charles	1945	111.0	2
11387	Black mischief	Waugh	Evelyn	1932	110.0	9
10224	Re-creations	Hill	Grace Livingston	1924	110.0	2
11756	For love alone	Stead	Christina	1944	110.0	3
11299	The aloe	Mansfield	Katherine	1930	109.0	6
10728	The Big Rock Candy mountain	Stegner	Wallace	1943	109.0	1
10297	Shanty Irish	Tully	Jim	1928	108.0	2
10283	Behind that curtain	Biggers	Earl Derr	1928	107.0	1
10379	Young Lonigan	Farrell	James T.	1932	106.0	4
20681	Gascoyne	Crawford	Stanley G.	1966	106.0	3
20409	Tristessa	Kerouac	Jack	1960	104.0	3
20217	Greenwillow	Chute	B. J.	1956	103.0	2
10655	The long winter ends	Thomas	Newton George	1941	103.0	1
10248	Bread givers	Yezierska	Anzia	1925	102.0	2
21086	Marcella	Coffey	Marilyn	1973	99.0	46
10370	The sleepwalkers	Broch	Hermann	1932	99.0	16
4347	The moon pool	Merritt	Abraham	1919	98.0	1
10921	The living is easy	West	Dorothy	1948	98.0	2
21126	Small changes	Piercy	Marge	1973	97.0	1
10461	Heaven's my destination	Wilder	Thornton	1934	95.0	1
10347	The chinaberry tree	Fauset	Jessie Redmon	1931	94.0	4
11466	The pilgrim's regress	Lewis	C. S.	1935	93.0	2
4882	Jacob's Room	Woolf	Virginia	1922	93.0	71
20683	Babel-17	Delany	Samuel R	1966	92.0	1
20196	Lolita	Nabokov	Vladimir Vladimirovich	1955	92.0	106
10795	The pearl	Steinbeck	John	1945	89.0	28
20525	Travels with Charley	Steinbeck	John	1962	89.0	1
11352	Hindoo holiday	Ackerley	J. R.	1932	89.0	1
10574	Three miles square	Corey	Paul	1939	88.0	1
11131	The Spanish farm	Mottram	R. H.	1924	88.0	2
11782	Animal farm	Orwell	George	1945	88.0	38
3285	Hopalong Cassidy	Mulford	Clarence Edward	1910	88.0	1
20188	Catch-22	Heller	Joseph	1955	87.0	25
11265	The escaped cock	Lawrence	D. H.	1929	84.0	10
10815	Nightmare alley	Gresham	William Lindsay	1946	83.0	1
11375	The memorial	Isherwood	Christopher	1932	82.0	1
11138	Precious bane	Webb	Mary Gladys Meredith	1924	82.0	7
20359	The naked lunch	Burroughs	William S.	1959	82.0	4
10281	Arrogant beggar	Yezierska	Anzia	1927	81.0	2
11161	The dancing floor	Buchan	John	1926	81.0	1
10889	The big sleep	Chandler	Raymond	1948	81.0	14
4558	Miss Lulu Bett	Gale	Zona	1921	81.0	1
10317	The romantics	Rinehart	Mary Roberts	1929	79.0	8
20352	The poorhouse fair	Updike	John	1958	79.0	1
11877	Crooked house	Christie	Agatha	1949	79.0	1
10307	The Dain curse	Hammett	Dashiell	1929	78.0	1
11182	Lolly Willowes	Warner	Sylvia Townsend	1926	77.0	3
20170	The Ponder heart	Welty	Eudora	1954	76.0	2
3337	The common law	Chambers	Robert W.	1911	76.0	2
10405	Tender is the night	Fitzgerald	F. Scott	1933	76.0	2
11898	The innocent traveller	Wilson	Ethel	1949	75.0	1
10382	Men without women	Hemingway	Ernest	1932	75.0	6
3842	Fidelity	Glaspell	Susan	1915	74.0	4
10997	The drowning pool	Millar	Kenneth	1950	74.0	1
10485	Not under forty	Cather	Willa	1936	74.0	3
4171	My Antonia	Cather	Willa	1918	74.0	47
3248	Strictly business	Henry	O.	1910	73.0	1
10455	Call it sleep	Roth	Henry	1934	72.0	21
11409	Murder must advertise	Sayers	Dorothy L.	1933	71.0	1
10462	You can't go home again	Wolfe	Thomas	1934	69.0	8
20440	The soft machine	Burroughs	William S.	1961	69.0	9
10483	Nightwood	Barnes	Djuna	1936	68.0	47
20460	Hombre	Leonard	Elmore	1961	68.0	1
20459	The big time	Leiber	Fritz	1961	68.0	2
3914	The agony column	Biggers	Earl Derr	1916	67.0	1
11100	Red Harvest	Hammett	Dashiell	1929	67.0	16
10450	The golden vanity	Paterson	Isabel	1934	67.0	1
20631	Young Lonigan	Farrell	James T.	1965	66.0	2
