doi	journal	year	authors	title	language	wordcount	doctype	citation_counts	S2titles	S2years	condition	matchstrength	S2journal	S2authors	new_cite_count	make_embeddings	paperId
10.2307/3713553	The Modern Language Review	1915	['Henry David Gray']	"The First Quarto ""Hamlet"""	['eng']	4535	article | research-article	8	"The First Quarto ""Hamlet"""	1915-04-01	already found	0.0			8	1	729e5d5937b791c3e2f0c9afc554df536f0510ba
10.2307/433006	Modern Philology	1916	['W. K. Smart']	"Some Notes on ""Mankind"". (Continued)"	['eng']	5852	article | research-article	0	"Some Notes on ""Mankind"". (Continued)"	1916	found	1.12	Modern Philology	W. K. Smart	3	1	91bbfe48c1a72541254584b392e2c75fb7303569
10.2307/3712657	The Modern Language Review	1913	['Mary Vance Young']	Voiture and Steele	['eng']	354	article | research-article	0	Voiture and Steele	no date	found	0.91	Modern Language Review	M. Young	0	1	29e88ead915c23d0e6299f1c3be4d71a8dea1828
10.2307/433129	Modern Philology	1917	['T. F. Crane']	"The External History of the ""Kinder- und hausmärchen"" of the Brothers Grimm. II"	['eng']	5183	article | research-article	0	"The External History of the ""Kinder- und hausmärchen"" of the Brothers Grimm. II"	1917	found	1.12	Modern Philology	T. Crane	0	1	52e68d327f655e2538f4380abedb73982bb36357
10.2307/3714128	The Modern Language Review	1917	['Henry Bradley']	"""Richard the Redeless,"" III. 105-6"	['eng']	347	article | research-article	0	"""Richard the Redeless,"" III. 105-6"	1917	found	1.0	Modern Language Review	H. Bradley	0	1	08fc4d732281a1f61b0a5131b03a2c8ffeeaeb7c
10.2307/3712628	The Modern Language Review	1915	['G. C. Moore Smith']	"""Jacke Jugeler,"" II. 256-259"	['eng']	340	article | research-article	0	"""Jacke Jugeler,"" II. 256-259"	1915	found	1.0	Modern Language Review	G. M. Smith	0	1	077f3238a765f44ea971200b873232933113523c
10.2307/456983	PMLA	1918	['Howard Rollin Patch']	Some Elements in Mediæval Descriptions of the Otherworld	['eng']	16050	article | research-article	11	Some Elements in Mediæval Descriptions of the Otherworld		already found	0.0			11	1	6564ff849175f99060e1643f3be0290a9b9ad7c9
10.2307/3713265	The Modern Language Review	1911	['Louis Brandin']	"""Aucassin et Nicolete,"" XXI, 5-8"	['fre']	1466	article | research-article	0	"""Aucassin et Nicolete,"" XXI, 5-8"	no date	found	0.91	no journal listed	Louis Brandin	0	1	1124f5c2d6459672a4ceb90476cd1ad9856b70e8
10.2307/457041	PMLA	1913	['Arthur Jerrold Tieje']	A Peculiar Phase of the Theory of Realism in Pre-Richardsonian Fiction	['eng']	13891	article | research-article	0	A Peculiar Phase of the Theory of Realism in Pre–Richardsonian Fiction	no date	found	1.01	PMLA/Publications of the Modern Language Association of America	A. J. Tieje	4	1	4973b5008ade5ced3fb3a5fda9ddd4d5a3e1127a
10.2307/3713637	The Modern Language Review	1914	['Paul T. Lafleur']	Sainte-Beuve, Balzac, and Thackeray	['eng']	1620	article | research-article	0	Sainte-Beuve, Balzac, and Thackeray	1914	found	1.0	Modern Language Review	Paul T. Lafleur	0	1	6440b64dc326d9862d8dacb7d109878975aa2450
10.2307/456977	PMLA	1915	['Alfonso de Salvio']	Studies in the Dialect of Basilicata	['eng']	6915	article | research-article	0	Studies in the Dialect of Basilicata	no date	found	1.03	PMLA/Publications of the Modern Language Association of America	A. de Salvio	0	1	e3ad0634cc3e93e68fa038695024615518777a79
10.2307/3714240	The Modern Language Review	1918	['Cecilia M. Fox']	Recovery of a Lost Leaf in Harleian MS. 2382	['eng']	852	article | research-article	0	Recovery of a Lost Leaf in Harleian MS. 2382	1918	found	1.0	no journal listed	Cecilia M. Fox	0	1	a74c8ac93a2b707ffcf3370f708e2e4dd44c36ff
10.2307/3713704	The Modern Language Review	1912	['Robert Petsch']	Review Article	['eng']	980	article | book-review	0	Tristan und Isolde von Gottfried von Strassburg	1912-07-01	not citable	0.0			0	1	32059661dafee3c55f8be1193964a6107398a4fb
10.2307/457106	PMLA	1919	['Ernest H. Wilkins']	Report of the Committee on Romance Language Instruction and the War	['eng']	5657	article | research-article	1	Report of the Committee on Romance Language Instruction and the War		already found	0.0			1	1	52b28b954e22a7cafb3fca8c54d69e9e208c7826
10.2307/456957	PMLA	1916	['F. M. Warren']	A Byzantine Source for Guillaume De Lorris's Roman De La Rose	['eng']	4823	article | research-article	0	A Byzantine Source for Guillaume de Lorris's Roman de la Rose	no date	found	1.03	PMLA/Publications of the Modern Language Association of America	F. Warren	3	1	140ca8c1272bf88b564d8623faaa694978c24901
10.2307/3713031	The Modern Language Review	1912	['Paget Toynbee']	The S. Pantaleo Text of Dante's Letters to the Emperor Henry VII, and to the Princes and Peoples of Italy	['eng']	8262	article | research-article	0	The S. Pantaleo Text of Dante's Letters to the Emperor Henry VII, and to the Princes and Peoples of Italy	1912	found	1.0	Modern Language Review	P. Toynbee	0	1	6946f15fd36f35a088d58691228da5bbb7d9e4bd
10.2307/3713145	The Modern Language Review	1917	['A. Terracher']	A Propos de la Distinction entre le Latin et le Roman dans la France du Nord avant le IXe Siècle	['fre']	1939	article | research-article	0	A Propos de la Distinction entre le Latin et le Roman dans la France du Nord avant le IXe Siecle	no date	found	0.91	Modern Language Review	A. Terracher	0	1	b8094ac15ef7f4df05001517cab49438f245a687
10.2307/3713331	The Modern Language Review	1910	['James W. Holme']	Italian Courtesy-Books of the Sixteenth Century	['eng']	9788	article | research-article	6	Italian Courtesy-Books of the Sixteenth Century	1910-04-01	already found	0.0			6	1	948d6488cb0662914f06cc599568d55792a1ace6
10.2307/3712852	The Modern Language Review	1912	['George R. Noyes']	Review Article	['eng']	3708	article | book-review	100	The Poems Of John Dryden		not citable	0.0			100	1	4ad27afc9cb8953d3ad009b209cfa92ea3134d3a
10.2307/3714111	The Modern Language Review	1917	['E. Curtis']	Review Article	['eng']	1590	article | book-review	15	Literature in Ireland		not citable	0.0			15	1	1b3f03f762dde90e25af941ac86aa33378411d4d
10.2307/432870	Modern Philology	1919	['Evelyn May Albright']	Notes on the Status of Literary Property, 1500-1545	['eng']	7331	article | research-article	0	Notes on the Status of Literary Property, 1500-1545	1919	found	1.12	Modern Philology	E. M. Albright	1	1	af24c09cf381e18194e4c8113564ec8c3a25465f
