docid	date	num_chunks	fraction_compared	filtered	time_radius	chunks_used	precocity	novelty	transience
2b5712098a0654934d117ded71d2731f569691c7	1920	2	1.0	False	20	0.25	0.015249002981425619	6.107163477031079	6.091914474049654
2b5712098a0654934d117ded71d2731f569691c7	1920	2	0.05	True	10	1.0	-0.11197417117794606	3.868019151481656	3.979993322659602
2b5712098a0654934d117ded71d2731f569691c7	1920	2	0.05	True	10	0.25	-0.055295493491815506	4.127850042377169	4.183145535868984
2b5712098a0654934d117ded71d2731f569691c7	1920	2	0.05	True	20	1.0	-0.0027022308412569807	4.012639482228679	4.015341713069937
2b5712098a0654934d117ded71d2731f569691c7	1920	2	0.05	True	20	0.25	0.11114173740039401	4.291115179951444	4.17997344255105
2b5712098a0654934d117ded71d2731f569691c7	1920	2	0.05	False	10	1.0	-0.11072653567731017	3.865787066927556	3.976513602604866
2b5712098a0654934d117ded71d2731f569691c7	1920	2	0.05	False	10	0.25	-0.05581452758221417	4.123385873268969	4.179200400851183
2b5712098a0654934d117ded71d2731f569691c7	1920	2	0.05	False	20	1.0	-0.004409863789521129	4.0080635406514755	4.012473404440997
2b5712098a0654934d117ded71d2731f569691c7	1920	2	0.05	False	20	0.25	0.10820805975824044	4.285197176571392	4.176989116813152
5e0a0653dc98f0f329c9f5d1205e2c0c7a47c2fa	1920	1	1.0	True	10	1.0	-0.060042653306588534	5.856888757469536	5.916931410776124
5e0a0653dc98f0f329c9f5d1205e2c0c7a47c2fa	1920	1	1.0	True	10	0.25	-0.060042653306588534	5.856888757469536	5.916931410776124
5e0a0653dc98f0f329c9f5d1205e2c0c7a47c2fa	1920	1	1.0	True	20	1.0	-0.07029976817694905	5.880587391697652	5.950887159874601
5e0a0653dc98f0f329c9f5d1205e2c0c7a47c2fa	1920	1	1.0	True	20	0.25	-0.07029976817694905	5.880587391697652	5.950887159874601
5e0a0653dc98f0f329c9f5d1205e2c0c7a47c2fa	1920	1	1.0	False	10	1.0	-0.059795605531469675	5.856888757469536	5.916684363001005
5e0a0653dc98f0f329c9f5d1205e2c0c7a47c2fa	1920	1	1.0	False	10	0.25	-0.059795605531469675	5.856888757469536	5.916684363001005
5e0a0653dc98f0f329c9f5d1205e2c0c7a47c2fa	1920	1	1.0	False	20	1.0	-0.06991075343063091	5.880587391697652	5.950498145128283
5e0a0653dc98f0f329c9f5d1205e2c0c7a47c2fa	1920	1	1.0	False	20	0.25	-0.06991075343063091	5.880587391697652	5.950498145128283
5e0a0653dc98f0f329c9f5d1205e2c0c7a47c2fa	1920	1	0.05	True	10	1.0	-0.21452893811853713	3.7709832386141358	3.985512176732673
5e0a0653dc98f0f329c9f5d1205e2c0c7a47c2fa	1920	1	0.05	True	10	0.25	-0.21452893811853713	3.7709832386141358	3.985512176732673
5e0a0653dc98f0f329c9f5d1205e2c0c7a47c2fa	1920	1	0.05	True	20	1.0	-0.1349760528110968	3.897629309314678	4.032605362125775
5e0a0653dc98f0f329c9f5d1205e2c0c7a47c2fa	1920	1	0.05	True	20	0.25	-0.1349760528110968	3.897629309314678	4.032605362125775
5e0a0653dc98f0f329c9f5d1205e2c0c7a47c2fa	1920	1	0.05	False	10	1.0	-0.21436339663807846	3.7709832386141358	3.985346635252214
5e0a0653dc98f0f329c9f5d1205e2c0c7a47c2fa	1920	1	0.05	False	10	0.25	-0.21436339663807846	3.7709832386141358	3.985346635252214
5e0a0653dc98f0f329c9f5d1205e2c0c7a47c2fa	1920	1	0.05	False	20	1.0	-0.1341385010745455	3.897629309314678	4.031767810389224
5e0a0653dc98f0f329c9f5d1205e2c0c7a47c2fa	1920	1	0.05	False	20	0.25	-0.1341385010745455	3.897629309314678	4.031767810389224
7232cab075d570a4ee2e3b7049b5b33960d6449f	1920	14	1.0	True	10	1.0	0.012438217531723568	6.623983872772945	6.611545655241222
7232cab075d570a4ee2e3b7049b5b33960d6449f	1920	14	1.0	True	10	0.25	0.04652654876687423	6.49778504558496	6.451258496818086
7232cab075d570a4ee2e3b7049b5b33960d6449f	1920	14	1.0	True	20	1.0	0.04072037505240779	6.645399627134032	6.604679252081624
7232cab075d570a4ee2e3b7049b5b33960d6449f	1920	14	1.0	True	20	0.25	0.08281225504151357	6.761303516316039	6.678491261274525
7232cab075d570a4ee2e3b7049b5b33960d6449f	1920	14	1.0	False	10	1.0	0.015486981157324957	6.623983872772945	6.60849689161562
7232cab075d570a4ee2e3b7049b5b33960d6449f	1920	14	1.0	False	10	0.25	0.050843509505560824	6.731775438158599	6.680931928653038
7232cab075d570a4ee2e3b7049b5b33960d6449f	1920	14	1.0	False	20	1.0	0.04224475686520852	6.645399627134032	6.603154870268823
7232cab075d570a4ee2e3b7049b5b33960d6449f	1920	14	1.0	False	20	0.25	0.0848412247213104	6.761303516316039	6.676462291594728
